Gene	C42B_siZFX_rep1	C42B_siZFX_rep2	C42B_siZFX_rep3	C42B_siCtrl_rep1	C42B_siCtrl_rep2	C42B_siCtrl_rep3
5S_rRNA	nan	nan	nan	nan	nan	nan
7SK	nan	nan	nan	nan	nan	nan
RNU6-244P	nan	nan	nan	nan	nan	nan
RNU6-245P	nan	nan	nan	nan	nan	nan
RNU6-246P	nan	nan	nan	nan	nan	nan
RNU6-247P	nan	nan	nan	nan	nan	nan
RNU6-248P	nan	nan	nan	nan	nan	nan
RNU6-249P	nan	nan	nan	nan	nan	nan
RNU6-24P	nan	nan	nan	nan	nan	nan
RNU6-250P	nan	nan	nan	nan	nan	nan
RNU6-251P	nan	nan	nan	nan	nan	nan
RNU6-252P	nan	nan	nan	nan	nan	nan
RNU6-253P	nan	nan	nan	nan	nan	nan
RNU6-254P	nan	nan	nan	nan	nan	nan
RNU6-255P	nan	nan	nan	nan	nan	nan
RNU6-256P	nan	nan	nan	nan	nan	nan
RNU6-257P	nan	nan	nan	nan	nan	nan
RNU6-258P	nan	nan	nan	nan	nan	nan
RNU6-259P	nan	nan	nan	nan	nan	nan
RNU6-25P	nan	nan	nan	nan	nan	nan
RNU6-260P	nan	nan	nan	nan	nan	nan
RNU6-261P	nan	nan	nan	nan	nan	nan
RNU6-262P	nan	nan	nan	nan	nan	nan
RNU6-263P	nan	nan	nan	nan	nan	nan
RNU6-264P	nan	nan	nan	nan	nan	nan
RNU6-265P	nan	nan	nan	nan	nan	nan
RNU6-266P	nan	nan	nan	nan	nan	nan
RNU6-267P	nan	nan	nan	nan	nan	nan
RNU6-268P	nan	nan	nan	nan	nan	nan
RNU6-269P	nan	nan	nan	nan	nan	nan
RNU6-26P	nan	nan	nan	nan	nan	nan
RNU6-270P	nan	nan	nan	nan	nan	nan
RNU6-271P	nan	nan	nan	nan	nan	nan
RNU6-272P	nan	nan	nan	nan	nan	nan
RNU6-273P	nan	nan	nan	nan	nan	nan
RNU6-274P	nan	nan	nan	nan	nan	nan
RNU6-275P	nan	nan	nan	nan	nan	nan
RNU6-276P	nan	nan	nan	nan	nan	nan
RNU6-277P	nan	nan	nan	nan	nan	nan
RNU6-278P	nan	nan	nan	nan	nan	nan
RNU6-279P	nan	nan	nan	nan	nan	nan
RNU6-27P	nan	nan	nan	nan	nan	nan
RNU6-280P	nan	nan	nan	nan	nan	nan
RNU6-281P	nan	nan	nan	nan	nan	nan
RNU6-282P	nan	nan	nan	nan	nan	nan
RNU6-283P	nan	nan	nan	nan	nan	nan
RNU6-284P	nan	nan	nan	nan	nan	nan
RNU6-285P	nan	nan	nan	nan	nan	nan
RNU6-286P	nan	nan	nan	nan	nan	nan
RNU6-287P	nan	nan	nan	nan	nan	nan
RNU6-288P	nan	nan	nan	nan	nan	nan
RNU6-289P	nan	nan	nan	nan	nan	nan
RNU6-28P	nan	nan	nan	nan	nan	nan
RNU6-290P	nan	nan	nan	nan	nan	nan
RNU6-291P	nan	nan	nan	nan	nan	nan
RNU6-292P	nan	nan	nan	nan	nan	nan
RNU6-293P	nan	nan	nan	nan	nan	nan
RNU6-294P	nan	nan	nan	nan	nan	nan
RNU6-295P	nan	nan	nan	nan	nan	nan
RNU6-296P	nan	nan	nan	nan	nan	nan
RNU6-297P	nan	nan	nan	nan	nan	nan
RNU6-298P	nan	nan	nan	nan	nan	nan
RNU6-299P	nan	nan	nan	nan	nan	nan
RNU6-29P	nan	nan	nan	nan	nan	nan
RNU6-300P	nan	nan	nan	nan	nan	nan
RNU6-301P	nan	nan	nan	nan	nan	nan
RNU6-302P	nan	nan	nan	nan	nan	nan
RNU6-303P	nan	nan	nan	nan	nan	nan
RNU6-304P	nan	nan	nan	nan	nan	nan
RNU6-305P	nan	nan	nan	nan	nan	nan
RNU6-306P	nan	nan	nan	nan	nan	nan
RNU6-307P	nan	nan	nan	nan	nan	nan
RNU6-308P	nan	nan	nan	nan	nan	nan
RNU6-309P	nan	nan	nan	nan	nan	nan
RNU6-30P	nan	nan	nan	nan	nan	nan
RNU6-310P	nan	nan	nan	nan	nan	nan
RNU6-311P	nan	nan	nan	nan	nan	nan
RNU6-312P	nan	nan	nan	nan	nan	nan
RNU6-313P	nan	nan	nan	nan	nan	nan
RNU6-314P	nan	nan	nan	nan	nan	nan
RNU6-315P	nan	nan	nan	nan	nan	nan
RNU6-316P	nan	nan	nan	nan	nan	nan
RNU6-317P	nan	nan	nan	nan	nan	nan
RNU6-318P	nan	nan	nan	nan	nan	nan
RNU6-319P	nan	nan	nan	nan	nan	nan
RNU6-31P	nan	nan	nan	nan	nan	nan
RNU6-320P	nan	nan	nan	nan	nan	nan
RNU6-321P	nan	nan	nan	nan	nan	nan
RNU6-322P	nan	nan	nan	nan	nan	nan
RNU6-324P	nan	nan	nan	nan	nan	nan
RNU6-325P	nan	nan	nan	nan	nan	nan
RNU6-326P	nan	nan	nan	nan	nan	nan
RNU6-327P	nan	nan	nan	nan	nan	nan
RNU6-328P	nan	nan	nan	nan	nan	nan
RNU6-329P	nan	nan	nan	nan	nan	nan
RNU6-32P	nan	nan	nan	nan	nan	nan
RNU6-330P	nan	nan	nan	nan	nan	nan
RNU6-331P	nan	nan	nan	nan	nan	nan
RNU6-332P	nan	nan	nan	nan	nan	nan
RNU6-333P	nan	nan	nan	nan	nan	nan
RNU6-334P	nan	nan	nan	nan	nan	nan
RNU6-335P	nan	nan	nan	nan	nan	nan
RNU6-336P	nan	nan	nan	nan	nan	nan
RNU6-337P	nan	nan	nan	nan	nan	nan
RNU6-338P	nan	nan	nan	nan	nan	nan
RNU6-339P	nan	nan	nan	nan	nan	nan
RNU6-33P	nan	nan	nan	nan	nan	nan
RNU6-340P	nan	nan	nan	nan	nan	nan
RNU6-341P	nan	nan	nan	nan	nan	nan
RNU6-342P	nan	nan	nan	nan	nan	nan
RNU6-343P	nan	nan	nan	nan	nan	nan
RNU6-344P	nan	nan	nan	nan	nan	nan
RNU6-345P	nan	nan	nan	nan	nan	nan
RNU6-346P	nan	nan	nan	nan	nan	nan
RNU6-347P	nan	nan	nan	nan	nan	nan
RNU6-348P	nan	nan	nan	nan	nan	nan
RNU6-349P	nan	nan	nan	nan	nan	nan
RNU6-34P	nan	nan	nan	nan	nan	nan
RNU6-350P	nan	nan	nan	nan	nan	nan
RNU6-351P	nan	nan	nan	nan	nan	nan
RNU6-352P	nan	nan	nan	nan	nan	nan
RNU6-353P	nan	nan	nan	nan	nan	nan
RNU6-354P	nan	nan	nan	nan	nan	nan
RNU6-355P	nan	nan	nan	nan	nan	nan
RNU6-356P	nan	nan	nan	nan	nan	nan
RNU6-357P	nan	nan	nan	nan	nan	nan
RNU6-358P	nan	nan	nan	nan	nan	nan
RNU6-359P	nan	nan	nan	nan	nan	nan
RNU6-35P	nan	nan	nan	nan	nan	nan
RNU6-360P	nan	nan	nan	nan	nan	nan
RNU6-361P	nan	nan	nan	nan	nan	nan
RNU6-362P	nan	nan	nan	nan	nan	nan
RNU6-363P	nan	nan	nan	nan	nan	nan
RNU6-364P	nan	nan	nan	nan	nan	nan
RNU6-365P	nan	nan	nan	nan	nan	nan
RNU6-366P	nan	nan	nan	nan	nan	nan
RNU6-367P	nan	nan	nan	nan	nan	nan
RNU6-368P	nan	nan	nan	nan	nan	nan
RNU6-369P	nan	nan	nan	nan	nan	nan
RNU6-36P	nan	nan	nan	nan	nan	nan
RNU6-370P	nan	nan	nan	nan	nan	nan
RNU6-371P	nan	nan	nan	nan	nan	nan
RNU6-372P	nan	nan	nan	nan	nan	nan
RNU6-373P	nan	nan	nan	nan	nan	nan
RNU6-374P	nan	nan	nan	nan	nan	nan
RNU6-375P	nan	nan	nan	nan	nan	nan
RNU6-376P	nan	nan	nan	nan	nan	nan
RNU6-377P	nan	nan	nan	nan	nan	nan
RNU6-378P	nan	nan	nan	nan	nan	nan
RNU6-379P	nan	nan	nan	nan	nan	nan
RNU6-37P	nan	nan	nan	nan	nan	nan
RNU6-380P	nan	nan	nan	nan	nan	nan
RNU6-381P	nan	nan	nan	nan	nan	nan
RNU6-382P	nan	nan	nan	nan	nan	nan
RNU6-383P	nan	nan	nan	nan	nan	nan
RNU6-384P	nan	nan	nan	nan	nan	nan
RNU6-385P	nan	nan	nan	nan	nan	nan
RNU6-386P	nan	nan	nan	nan	nan	nan
RNU6-387P	nan	nan	nan	nan	nan	nan
RNU6-388P	nan	nan	nan	nan	nan	nan
RNU6-389P	nan	nan	nan	nan	nan	nan
RNU6-38P	nan	nan	nan	nan	nan	nan
RNU6-390P	nan	nan	nan	nan	nan	nan
RNU6-391P	nan	nan	nan	nan	nan	nan
RNU6-392P	nan	nan	nan	nan	nan	nan
RNU6-393P	nan	nan	nan	nan	nan	nan
RNU6-394P	nan	nan	nan	nan	nan	nan
RNU6-395P	nan	nan	nan	nan	nan	nan
RNU6-396P	nan	nan	nan	nan	nan	nan
RNU6-397P	nan	nan	nan	nan	nan	nan
RNU6-398P	nan	nan	nan	nan	nan	nan
RNU6-399P	nan	nan	nan	nan	nan	nan
RNU6-39P	nan	nan	nan	nan	nan	nan
RNU6-3P	nan	nan	nan	nan	nan	nan
RNU6-400P	nan	nan	nan	nan	nan	nan
RNU6-401P	nan	nan	nan	nan	nan	nan
RNU6-402P	nan	nan	nan	nan	nan	nan
RNU6-403P	nan	nan	nan	nan	nan	nan
RNU6-404P	nan	nan	nan	nan	nan	nan
RNU6-405P	nan	nan	nan	nan	nan	nan
RNU6-406P	nan	nan	nan	nan	nan	nan
RNU6-407P	nan	nan	nan	nan	nan	nan
RNU6-408P	nan	nan	nan	nan	nan	nan
RNU6-409P	nan	nan	nan	nan	nan	nan
RNU6-40P	nan	nan	nan	nan	nan	nan
RNU6-410P	nan	nan	nan	nan	nan	nan
RNU6-411P	nan	nan	nan	nan	nan	nan
RNU6-412P	nan	nan	nan	nan	nan	nan
RNU6-413P	nan	nan	nan	nan	nan	nan
RNU6-414P	nan	nan	nan	nan	nan	nan
RNU6-415P	nan	nan	nan	nan	nan	nan
RNU6-416P	nan	nan	nan	nan	nan	nan
RNU6-417P	nan	nan	nan	nan	nan	nan
RNU6-418P	nan	nan	nan	nan	nan	nan
RNU6-419P	nan	nan	nan	nan	nan	nan
RNU6-41P	nan	nan	nan	nan	nan	nan
RNU6-420P	nan	nan	nan	nan	nan	nan
RNU6-421P	nan	nan	nan	nan	nan	nan
RNU6-422P	nan	nan	nan	nan	nan	nan
RNU6-423P	nan	nan	nan	nan	nan	nan
RNU6-424P	nan	nan	nan	nan	nan	nan
RNU6-425P	nan	nan	nan	nan	nan	nan
RNU6-426P	nan	nan	nan	nan	nan	nan
RNU6-427P	nan	nan	nan	nan	nan	nan
RNU6-428P	nan	nan	nan	nan	nan	nan
RNU6-429P	nan	nan	nan	nan	nan	nan
RNU6-42P	nan	nan	nan	nan	nan	nan
RNU6-430P	nan	nan	nan	nan	nan	nan
RNU6-431P	nan	nan	nan	nan	nan	nan
RNU6-432P	nan	nan	nan	nan	nan	nan
RNU6-433P	nan	nan	nan	nan	nan	nan
RNU6-434P	nan	nan	nan	nan	nan	nan
RNU6-435P	nan	nan	nan	nan	nan	nan
RNU6-436P	nan	nan	nan	nan	nan	nan
RNU6-437P	nan	nan	nan	nan	nan	nan
RNU6-438P	nan	nan	nan	nan	nan	nan
RNU6-439P	nan	nan	nan	nan	nan	nan
RNU6-43P	nan	nan	nan	nan	nan	nan
RNU6-440P	nan	nan	nan	nan	nan	nan
RNU6-441P	nan	nan	nan	nan	nan	nan
RNU6-442P	nan	nan	nan	nan	nan	nan
RNU6-443P	nan	nan	nan	nan	nan	nan
RNU6-444P	nan	nan	nan	nan	nan	nan
RNU6-445P	nan	nan	nan	nan	nan	nan
RNU6-446P	nan	nan	nan	nan	nan	nan
RNU6-447P	nan	nan	nan	nan	nan	nan
RNU6-448P	nan	nan	nan	nan	nan	nan
RNU6-449P	nan	nan	nan	nan	nan	nan
RNU6-44P	nan	nan	nan	nan	nan	nan
RNU6-450P	nan	nan	nan	nan	nan	nan
RNU6-451P	nan	nan	nan	nan	nan	nan
RNU6-452P	nan	nan	nan	nan	nan	nan
RNU6-453P	nan	nan	nan	nan	nan	nan
RNU6-454P	nan	nan	nan	nan	nan	nan
RNU6-455P	nan	nan	nan	nan	nan	nan
RNU6-456P	nan	nan	nan	nan	nan	nan
RNU6-457P	nan	nan	nan	nan	nan	nan
RNU6-458P	nan	nan	nan	nan	nan	nan
RNU6-459P	nan	nan	nan	nan	nan	nan
RNU6-45P	nan	nan	nan	nan	nan	nan
RNU6-460P	nan	nan	nan	nan	nan	nan
RNU6-461P	nan	nan	nan	nan	nan	nan
RNU6-462P	nan	nan	nan	nan	nan	nan
RNU6-463P	nan	nan	nan	nan	nan	nan
RNU6-464P	nan	nan	nan	nan	nan	nan
RNU6-465P	nan	nan	nan	nan	nan	nan
RNU6-466P	nan	nan	nan	nan	nan	nan
RNU6-468P	nan	nan	nan	nan	nan	nan
RNU6-469P	nan	nan	nan	nan	nan	nan
RNU6-46P	nan	nan	nan	nan	nan	nan
RNU6-470P	nan	nan	nan	nan	nan	nan
RNU6-471P	nan	nan	nan	nan	nan	nan
RNU6-472P	nan	nan	nan	nan	nan	nan
RNU6-473P	nan	nan	nan	nan	nan	nan
RNU6-474P	nan	nan	nan	nan	nan	nan
RNU6-475P	nan	nan	nan	nan	nan	nan
RNU6-476P	nan	nan	nan	nan	nan	nan
RNU6-477P	nan	nan	nan	nan	nan	nan
RNU6-478P	nan	nan	nan	nan	nan	nan
RNU6-479P	nan	nan	nan	nan	nan	nan
RNU6-47P	nan	nan	nan	nan	nan	nan
RNU6-480P	nan	nan	nan	nan	nan	nan
RNU6-481P	nan	nan	nan	nan	nan	nan
RNU6-482P	nan	nan	nan	nan	nan	nan
RNU6-483P	nan	nan	nan	nan	nan	nan
RNU6-484P	nan	nan	nan	nan	nan	nan
RNU6-485P	nan	nan	nan	nan	nan	nan
RNU6-486P	nan	nan	nan	nan	nan	nan
RNU6-487P	nan	nan	nan	nan	nan	nan
RNU6-488P	nan	nan	nan	nan	nan	nan
RNU6-489P	nan	nan	nan	nan	nan	nan
RNU6-48P	nan	nan	nan	nan	nan	nan
RNU6-490P	nan	nan	nan	nan	nan	nan
RNU6-491P	nan	nan	nan	nan	nan	nan
RNU6-492P	nan	nan	nan	nan	nan	nan
RNU6-493P	nan	nan	nan	nan	nan	nan
RNU6-494P	nan	nan	nan	nan	nan	nan
RNU6-495P	nan	nan	nan	nan	nan	nan
RNU6-496P	nan	nan	nan	nan	nan	nan
RNU6-497P	nan	nan	nan	nan	nan	nan
RNU6-498P	nan	nan	nan	nan	nan	nan
RNU6-499P	nan	nan	nan	nan	nan	nan
RNU6-49P	nan	nan	nan	nan	nan	nan
RNU6-4P	nan	nan	nan	nan	nan	nan
RNU6-500P	nan	nan	nan	nan	nan	nan
RNU6-501P	nan	nan	nan	nan	nan	nan
RNU6-502P	nan	nan	nan	nan	nan	nan
RNU6-503P	nan	nan	nan	nan	nan	nan
RNU6-504P	nan	nan	nan	nan	nan	nan
RNU6-505P	nan	nan	nan	nan	nan	nan
RNU6-506P	nan	nan	nan	nan	nan	nan
RNU6-507P	nan	nan	nan	nan	nan	nan
RNU6-508P	nan	nan	nan	nan	nan	nan
RNU6-509P	nan	nan	nan	nan	nan	nan
RNU6-50P	nan	nan	nan	nan	nan	nan
RNU6-510P	nan	nan	nan	nan	nan	nan
RNU6-511P	nan	nan	nan	nan	nan	nan
RNU6-512P	nan	nan	nan	nan	nan	nan
RNU6-513P	nan	nan	nan	nan	nan	nan
RNU6-514P	nan	nan	nan	nan	nan	nan
RNU6-515P	nan	nan	nan	nan	nan	nan
RNU6-516P	nan	nan	nan	nan	nan	nan
RNU6-517P	nan	nan	nan	nan	nan	nan
RNU6-518P	nan	nan	nan	nan	nan	nan
RNU6-519P	nan	nan	nan	nan	nan	nan
RNU6-51P	nan	nan	nan	nan	nan	nan
RNU6-520P	nan	nan	nan	nan	nan	nan
RNU6-521P	nan	nan	nan	nan	nan	nan
RNU6-522P	nan	nan	nan	nan	nan	nan
RNU6-523P	nan	nan	nan	nan	nan	nan
RNU6-524P	nan	nan	nan	nan	nan	nan
RNU6-525P	nan	nan	nan	nan	nan	nan
RNU6-526P	nan	nan	nan	nan	nan	nan
RNU6-527P	nan	nan	nan	nan	nan	nan
RNU6-528P	nan	nan	nan	nan	nan	nan
RNU6-529P	nan	nan	nan	nan	nan	nan
RNU6-52P	nan	nan	nan	nan	nan	nan
RNU6-530P	nan	nan	nan	nan	nan	nan
RNU6-531P	nan	nan	nan	nan	nan	nan
RNU6-532P	nan	nan	nan	nan	nan	nan
RNU6-533P	nan	nan	nan	nan	nan	nan
RNU6-534P	nan	nan	nan	nan	nan	nan
RNU6-535P	nan	nan	nan	nan	nan	nan
RNU6-536P	nan	nan	nan	nan	nan	nan
RNU6-537P	nan	nan	nan	nan	nan	nan
RNU6-538P	nan	nan	nan	nan	nan	nan
RNU6-539P	nan	nan	nan	nan	nan	nan
RNU6-53P	nan	nan	nan	nan	nan	nan
RNU6-540P	nan	nan	nan	nan	nan	nan
RNU6-541P	nan	nan	nan	nan	nan	nan
RNU6-542P	nan	nan	nan	nan	nan	nan
RNU6-543P	nan	nan	nan	nan	nan	nan
RNU6-544P	nan	nan	nan	nan	nan	nan
RNU6-545P	nan	nan	nan	nan	nan	nan
RNU6-546P	nan	nan	nan	nan	nan	nan
RNU6-547P	nan	nan	nan	nan	nan	nan
RNU6-548P	nan	nan	nan	nan	nan	nan
RNU6-549P	nan	nan	nan	nan	nan	nan
RNU6-54P	nan	nan	nan	nan	nan	nan
RNU6-550P	nan	nan	nan	nan	nan	nan
RNU6-551P	nan	nan	nan	nan	nan	nan
RNU6-552P	nan	nan	nan	nan	nan	nan
RNU6-553P	nan	nan	nan	nan	nan	nan
RNU6-554P	nan	nan	nan	nan	nan	nan
RNU6-555P	nan	nan	nan	nan	nan	nan
RNU6-556P	nan	nan	nan	nan	nan	nan
RNU6-557P	nan	nan	nan	nan	nan	nan
RNU6-558P	nan	nan	nan	nan	nan	nan
RNU6-559P	nan	nan	nan	nan	nan	nan
RNU6-55P	nan	nan	nan	nan	nan	nan
RNU6-560P	nan	nan	nan	nan	nan	nan
RNU6-561P	nan	nan	nan	nan	nan	nan
RNU6-562P	nan	nan	nan	nan	nan	nan
RNU6-563P	nan	nan	nan	nan	nan	nan
RNU6-564P	nan	nan	nan	nan	nan	nan
RNU6-565P	nan	nan	nan	nan	nan	nan
RNU6-566P	nan	nan	nan	nan	nan	nan
RNU6-567P	nan	nan	nan	nan	nan	nan
RNU6-568P	nan	nan	nan	nan	nan	nan
RNU6-569P	nan	nan	nan	nan	nan	nan
RNU6-56P	nan	nan	nan	nan	nan	nan
RNU6-570P	nan	nan	nan	nan	nan	nan
RNU6-571P	nan	nan	nan	nan	nan	nan
RNU6-572P	nan	nan	nan	nan	nan	nan
RNU6-573P	nan	nan	nan	nan	nan	nan
RNU6-574P	nan	nan	nan	nan	nan	nan
RNU6-575P	nan	nan	nan	nan	nan	nan
RNU6-576P	nan	nan	nan	nan	nan	nan
RNU6-577P	nan	nan	nan	nan	nan	nan
RNU6-578P	nan	nan	nan	nan	nan	nan
RNU6-579P	nan	nan	nan	nan	nan	nan
RNU6-57P	nan	nan	nan	nan	nan	nan
RNU6-580P	nan	nan	nan	nan	nan	nan
RNU6-581P	nan	nan	nan	nan	nan	nan
RNU6-582P	nan	nan	nan	nan	nan	nan
RNU6-583P	nan	nan	nan	nan	nan	nan
RNU6-584P	nan	nan	nan	nan	nan	nan
RNU6-585P	nan	nan	nan	nan	nan	nan
RNU6-586P	nan	nan	nan	nan	nan	nan
RNU6-587P	nan	nan	nan	nan	nan	nan
RNU6-588P	nan	nan	nan	nan	nan	nan
RNU6-589P	nan	nan	nan	nan	nan	nan
RNU6-58P	nan	nan	nan	nan	nan	nan
RNU6-590P	nan	nan	nan	nan	nan	nan
RNU6-591P	nan	nan	nan	nan	nan	nan
RNU6-592P	nan	nan	nan	nan	nan	nan
RNU6-593P	nan	nan	nan	nan	nan	nan
RNU6-594P	nan	nan	nan	nan	nan	nan
RNU6-595P	nan	nan	nan	nan	nan	nan
RNU6-596P	nan	nan	nan	nan	nan	nan
RNU6-597P	nan	nan	nan	nan	nan	nan
RNU6-598P	nan	nan	nan	nan	nan	nan
RNU6-599P	nan	nan	nan	nan	nan	nan
RNU6-59P	nan	nan	nan	nan	nan	nan
RNU6-5P	nan	nan	nan	nan	nan	nan
RNU6-600P	nan	nan	nan	nan	nan	nan
RNU6-601P	nan	nan	nan	nan	nan	nan
RNU6-602P	nan	nan	nan	nan	nan	nan
RNU6-603P	nan	nan	nan	nan	nan	nan
RNU6-604P	nan	nan	nan	nan	nan	nan
RNU6-605P	nan	nan	nan	nan	nan	nan
RNU6-606P	nan	nan	nan	nan	nan	nan
RNU6-607P	nan	nan	nan	nan	nan	nan
RNU6-608P	nan	nan	nan	nan	nan	nan
RNU6-609P	nan	nan	nan	nan	nan	nan
RNU6-60P	nan	nan	nan	nan	nan	nan
RNU6-610P	nan	nan	nan	nan	nan	nan
RNU6-611P	nan	nan	nan	nan	nan	nan
RNU6-612P	nan	nan	nan	nan	nan	nan
RNU6-613P	nan	nan	nan	nan	nan	nan
RNU6-614P	nan	nan	nan	nan	nan	nan
RNU6-615P	nan	nan	nan	nan	nan	nan
RNU6-616P	nan	nan	nan	nan	nan	nan
RNU6-617P	nan	nan	nan	nan	nan	nan
RNU6-618P	nan	nan	nan	nan	nan	nan
RNU6-619P	nan	nan	nan	nan	nan	nan
RNU6-61P	nan	nan	nan	nan	nan	nan
RNU6-620P	nan	nan	nan	nan	nan	nan
RNU6-621P	nan	nan	nan	nan	nan	nan
RNU6-622P	nan	nan	nan	nan	nan	nan
RNU6-623P	nan	nan	nan	nan	nan	nan
RNU6-624P	nan	nan	nan	nan	nan	nan
RNU6-625P	nan	nan	nan	nan	nan	nan
RNU6-626P	nan	nan	nan	nan	nan	nan
RNU6-627P	nan	nan	nan	nan	nan	nan
RNU6-628P	nan	nan	nan	nan	nan	nan
RNU6-629P	nan	nan	nan	nan	nan	nan
RNU6-62P	nan	nan	nan	nan	nan	nan
RNU6-630P	nan	nan	nan	nan	nan	nan
RNU6-631P	nan	nan	nan	nan	nan	nan
RNU6-632P	nan	nan	nan	nan	nan	nan
RNU6-633P	nan	nan	nan	nan	nan	nan
RNU6-634P	nan	nan	nan	nan	nan	nan
RNU6-635P	nan	nan	nan	nan	nan	nan
RNU6-636P	nan	nan	nan	nan	nan	nan
RNU6-637P	nan	nan	nan	nan	nan	nan
RNU6-638P	nan	nan	nan	nan	nan	nan
RNU6-639P	nan	nan	nan	nan	nan	nan
RNU6-63P	nan	nan	nan	nan	nan	nan
RNU6-640P	nan	nan	nan	nan	nan	nan
RNU6-641P	nan	nan	nan	nan	nan	nan
RNU6-642P	nan	nan	nan	nan	nan	nan
RNU6-643P	nan	nan	nan	nan	nan	nan
RNU6-644P	nan	nan	nan	nan	nan	nan
RNU6-645P	nan	nan	nan	nan	nan	nan
RNU6-646P	nan	nan	nan	nan	nan	nan
RNU6-647P	nan	nan	nan	nan	nan	nan
RNU6-648P	nan	nan	nan	nan	nan	nan
RNU6-649P	nan	nan	nan	nan	nan	nan
RNU6-64P	nan	nan	nan	nan	nan	nan
RNU6-650P	nan	nan	nan	nan	nan	nan
RNU6-651P	nan	nan	nan	nan	nan	nan
RNU6-652P	nan	nan	nan	nan	nan	nan
RNU6-653P	nan	nan	nan	nan	nan	nan
RNU6-654P	nan	nan	nan	nan	nan	nan
RNU6-655P	nan	nan	nan	nan	nan	nan
RNU6-656P	nan	nan	nan	nan	nan	nan
RNU6-657P	nan	nan	nan	nan	nan	nan
RNU6-658P	nan	nan	nan	nan	nan	nan
RNU6-659P	nan	nan	nan	nan	nan	nan
RNU6-65P	nan	nan	nan	nan	nan	nan
RNU6-660P	nan	nan	nan	nan	nan	nan
RNU6-661P	nan	nan	nan	nan	nan	nan
RNU6-662P	nan	nan	nan	nan	nan	nan
RNU6-663P	nan	nan	nan	nan	nan	nan
RNU6-664P	nan	nan	nan	nan	nan	nan
RNU6-665P	nan	nan	nan	nan	nan	nan
RNU6-666P	nan	nan	nan	nan	nan	nan
RNU6-667P	nan	nan	nan	nan	nan	nan
RNU6-668P	nan	nan	nan	nan	nan	nan
RNU6-669P	nan	nan	nan	nan	nan	nan
RNU6-66P	nan	nan	nan	nan	nan	nan
RNU6-670P	nan	nan	nan	nan	nan	nan
RNU6-671P	nan	nan	nan	nan	nan	nan
RNU6-672P	nan	nan	nan	nan	nan	nan
RNU6-673P	nan	nan	nan	nan	nan	nan
RNU6-674P	nan	nan	nan	nan	nan	nan
RNU6-675P	nan	nan	nan	nan	nan	nan
RNU6-676P	nan	nan	nan	nan	nan	nan
RNU6-677P	nan	nan	nan	nan	nan	nan
RNU6-678P	nan	nan	nan	nan	nan	nan
RNU6-679P	nan	nan	nan	nan	nan	nan
RNU6-67P	nan	nan	nan	nan	nan	nan
RNU6-680P	nan	nan	nan	nan	nan	nan
RNU6-681P	nan	nan	nan	nan	nan	nan
RNU6-682P	nan	nan	nan	nan	nan	nan
RNU6-684P	nan	nan	nan	nan	nan	nan
RNU6-685P	nan	nan	nan	nan	nan	nan
RNU6-686P	nan	nan	nan	nan	nan	nan
RNU6-687P	nan	nan	nan	nan	nan	nan
RNU6-688P	nan	nan	nan	nan	nan	nan
RNU6-689P	nan	nan	nan	nan	nan	nan
RNU6-68P	nan	nan	nan	nan	nan	nan
RNU6-690P	nan	nan	nan	nan	nan	nan
RNU6-691P	nan	nan	nan	nan	nan	nan
RNU6-692P	nan	nan	nan	nan	nan	nan
RNU6-693P	nan	nan	nan	nan	nan	nan
RNU6-694P	nan	nan	nan	nan	nan	nan
RNU6-695P	nan	nan	nan	nan	nan	nan
RNU6-696P	nan	nan	nan	nan	nan	nan
RNU6-697P	nan	nan	nan	nan	nan	nan
RNU6-698P	nan	nan	nan	nan	nan	nan
RNU6-699P	nan	nan	nan	nan	nan	nan
RNU6-69P	nan	nan	nan	nan	nan	nan
RNU6-6P	nan	nan	nan	nan	nan	nan
RNU6-7	nan	nan	nan	nan	nan	nan
RNU6-700P	nan	nan	nan	nan	nan	nan
RNU6-701P	nan	nan	nan	nan	nan	nan
RNU6-702P	nan	nan	nan	nan	nan	nan
RNU6-703P	nan	nan	nan	nan	nan	nan
RNU6-704P	nan	nan	nan	nan	nan	nan
RNU6-705P	nan	nan	nan	nan	nan	nan
RNU6-706P	nan	nan	nan	nan	nan	nan
RNU6-707P	nan	nan	nan	nan	nan	nan
RNU6-708P	nan	nan	nan	nan	nan	nan
RNU6-709P	nan	nan	nan	nan	nan	nan
RNU6-70P	nan	nan	nan	nan	nan	nan
RNU6-710P	nan	nan	nan	nan	nan	nan
RNU6-711P	nan	nan	nan	nan	nan	nan
RNU6-712P	nan	nan	nan	nan	nan	nan
RNU6-713P	nan	nan	nan	nan	nan	nan
RNU6-714P	nan	nan	nan	nan	nan	nan
RNU6-715P	nan	nan	nan	nan	nan	nan
RNU6-716P	nan	nan	nan	nan	nan	nan
RNU6-717P	nan	nan	nan	nan	nan	nan
RNU6-718P	nan	nan	nan	nan	nan	nan
RNU6-719P	nan	nan	nan	nan	nan	nan
RNU6-71P	nan	nan	nan	nan	nan	nan
RNU6-720P	nan	nan	nan	nan	nan	nan
RNU6-721P	nan	nan	nan	nan	nan	nan
RNU6-722P	nan	nan	nan	nan	nan	nan
RNU6-723P	nan	nan	nan	nan	nan	nan
RNU6-724P	nan	nan	nan	nan	nan	nan
RNU6-725P	nan	nan	nan	nan	nan	nan
RNU6-726P	nan	nan	nan	nan	nan	nan
